year,host_work_id,host_regime,issue_status,frontispiece_status,design_id,assertion_status,evidence_basis,key_anchor,notes
1751,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_C,design.historia-genealogia-heraldica.type-c-seated-historia,established,primary_direct,"ULB 1751 annual","Bottom-right wording probably M. Tyroff fec.; diplomatic enlargement pending."
1752,work.weigel-wappenkalender,annual_calendar,expected_issue,unknown,,unresolved,institutional_catalogue,"BSB serial coverage","Gandersheim catalogue later groups 1751/1752 under recurring phrase; not itself a plate witness."
1753,work.weigel-wappenkalender,annual_calendar,expected_issue,unknown,,unresolved,institutional_catalogue,"ZDB holdings","Unclassified."
1754,work.weigel-wappenkalender,annual_calendar,expected_issue,unknown,,unresolved,institutional_catalogue,"BSB serial coverage","Unclassified; keep host-year/imprint-year contamination warning."
1755,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_C,design.historia-genealogia-heraldica.type-c-seated-historia,established,market_catalogue,"Jasper52/Lot-Art lot 0105","Direct Type C; production signature unresolved."
1756,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_C_two_copy_control,design.historia-genealogia-heraldica.type-c-seated-historia,established,market_catalogue,"eBay 206215038533; eBay 146751281563","Two independent photographed copies support issue-level Type C assignment; one copy shows leaf damage/repair."
1757,work.weigel-wappenkalender,annual_calendar,final_numbered_issue,historia_programme_type_C,design.historia-genealogia-heraldica.type-c-seated-historia,established,market_catalogue,"eBay 127888776013","Direct Type C in the 35th/final numbered annual issue."
1759,work.gatterer-handbuch-genealogie-heraldik,handbook,issue,historia_programme_type_A_rehosted,design.historia-genealogia-heraldica.type-a-tree,established,primary_derivative,"von-stackelberg photographed opening","Non-linear re-hosting: older Type A selected after final annual Type C."
1761,work.gatterer-handbuch-genealogie-heraldik,handbook,issue,historia_programme_type_C,design.historia-genealogia-heraldica.type-c-seated-historia,established,market_catalogue,"ZVAB/AbeBooks 30897664620","Direct host/design pairing."
1762,work.gatterer-handbuch-genealogie-heraldik,handbook,issue,probable_type_C_signature_fec_1755,design.historia-genealogia-heraldica.type-c-seated-historia,probable,mixed,"Finna fikka.763690; cached ZVAB image","Catalogue signature M. Turoff fec. 1755 established; image-to-copy design pairing remains probable."
1763,work.gatterer-handbuch-genealogie-heraldik,handbook,issue,historia_programme_type_C,design.historia-genealogia-heraldica.type-c-seated-historia,established,primary_derivative,"BSB-derived Flickr album 72157654239702460","Composition secure; original institutional image preferable for matrix work."
1764,work.fortgesetzter-wappen-calender,annual_continuation,issue,unclassified,,unresolved,mixed,"Gatterer/Raspe continuation controls","Bridge regime; exact threshold plate in individual copies remains to canonicalise."
1765,work.fortgesetzter-wappen-calender,annual_continuation,issue,historia_programme_type_A_recurrence,design.historia-genealogia-heraldica.type-a-tree,established,market_catalogue,"OLX/Ricardo photographed copies","Late Type A recurrence; same matrix as early Type A unresolved."
1766,work.fortgesetzter-wappen-calender,annual_continuation,issue,unclassified,,unresolved,institutional_catalogue,"continuation bibliography","Host-regime endpoint before cumulative Wappenbuch; frontispiece configuration not canonicalised."
1767,work.seyfart-raspe-wappenbuch,cumulative_wappenbuch,opening_volume,copy_dependent_frontispiece_configuration,,unresolved,mixed,"BSB bsb11343160; auction copy controls","Late endpoint moves to copy-level question: repeated, omitted or differently counted frontispieces across sets."
