list_no,signature,title,date,place,publisher_or_imprint,agent_signal,comparison_tags,evidence_status,source_id,normalisation_note
18,"Merkel D 1697 / 8° Lr 176/1","Deutliche Vorstellung der Nürnbergischen Trachten","1766","Nürnberg","Tyroff","Christoph Weigel [catalogued illustrator]; Tyroff imprint","costume;reuse;publisher_succession","reported_correspondence","source.mail.gnm-library-2026-04-22","Potential reuse/succession case; inspect source relationships carefully"
19,"4° Or 173/1 ; Slg: N 263","Ein Schock Phantast'n in einem Kasten mit Ihrem Pourtrait gar net in Kupffer gebracht und ausgelacht","ca. 1690","Nürnberg","Weigel","Christoph Weigel; attributed Abraham a Sancta Clara","portrait;serial_images;satire","reported_correspondence","source.mail.gnm-library-2026-04-22","Comparison case"
20,"8° Qn 196/25","Die Bauleuthe ... aus der Abbildung der gemein-nützlichen Haupt-Stände","1963","München","Callwey","Christoff Weigel; modern selection","professions;reprint;reception","reported_correspondence","source.mail.gnm-library-2026-04-22","Modern derivative selection"
21,"2° Lö. 80","Historiae Celebriores Veteris Testamenti Iconibus Repraesentatae","1712","Nürnberg",,"Christoph Weigel","biblical_image_series;memory;serial_images","reported_correspondence","source.mail.gnm-library-2026-04-22","258 leaves of engravings reported"
22,"[S] 8° Kz WEI 025/4","Abbildung Der Gemein-Nützlichen Haupt-Stände","1698","Regensburg",,"Christoff Weigel","professions;classification;serial_images","reported_correspondence","source.mail.gnm-library-2026-04-22","Title leaf missing in GNM copy per catalogue note"
23,"[Kapsel] 8° Vh FRE 020/1","Christoph Weigels 'Markscheider', 'Häuer' und 'Untersteiger' (1721)","1976","Wien","Montan-Verl.","Franz Kirnbauer; Christoph Weigel subject","mining;reception;secondary","reported_correspondence","source.mail.gnm-library-2026-04-22","Secondary/reception item"
24,"8° Kz WEI 025/3","Abbildung und Beschreibung der gemein-nützlichen Hauptstände","1987","Nördlingen","Uhl","Christoph Weigel; facsimile reprint","professions;reprint;reception","reported_correspondence","source.mail.gnm-library-2026-04-22","Facsimile of 1698 edition"
25,"8° Kz WEI 025/2","Handwerk um 1700: holländische und deutsche Kupferstiche","1985","Hürtgenwald","Pressler","Christoph Weigel; Abraham a Sancta Clara; Margarete Wagner","professions;reception;secondary","reported_correspondence","source.mail.gnm-library-2026-04-22","Same signature/title recurs at list position 31"
26,"8° Lr TUR 40/1","Wahreste und neueste Abbildung des Türckischen Hofes","1723","Nürnberg","Weigel","Charles de Ferriol; Weigel","costume;ethnographic_display;serial_images","reported_correspondence","source.mail.gnm-library-2026-04-22","Comparison case for ordered visual difference"
27,"8° K. 376 bb","Die Grösse und Mannigfaltigkeit in den Reichen der Natur und Sitten","1766","Nürnberg","[Tyroff]","Georg Andreas Will; Christoph Weigel","nature;morals;reuse;publisher_succession","reported_correspondence","source.mail.gnm-library-2026-04-22","High-priority cross-domain case; supplied list includes HAAB full-text lead"
28,"4° H. 1267","Erläuterung einer überaus raren Münze von dem Erzbischoffen zu Cöln Piligrim ...","1748","Nürnberg","Christoph Weigel des ältern seel. Erben; Andreas Bieling [printer]","Samuel Wilhelm Oetter; Martin Tyroff [catalogued illustrator]","numismatics;evidence;publisher_succession","reported_correspondence","source.mail.gnm-library-2026-04-22","Very high-priority control: coins + Weigel heirs + Tyroff"
29,"Slg: Hch 143 / 8° Df 192/2","Die Buchgewerbe in den Traktaten Etwas für Alle des Abraham a Santa Clara","1926","Wien etc.","Berthold","Christoph Weigel engravings; Abraham a Sancta Clara","book_trade;reception;secondary","reported_correspondence","source.mail.gnm-library-2026-04-22","Reception/selection item"
30,"8° Cc 196/15","Abraham a Sancta Clara: von Papieren, Schreibern, Kupferstechern, Schriftgießern, Buchdruckern und Buchbindern","1969","Frankfurt am Main","Polygraph Verlag","Christoph Weigel after Caspar Luyken; Helmut Presser","book_trade;reception;secondary","reported_correspondence","source.mail.gnm-library-2026-04-22","Reception/selection item"
31,"8° Kz WEI 025/2","Handwerk um 1700: holländische und deutsche Kupferstiche","1985","Hürtgenwald","Pressler","Christoph Weigel; Abraham a Sancta Clara; Margarete Wagner","professions;reception;secondary;duplicate_candidate","reported_correspondence","source.mail.gnm-library-2026-04-22","Duplicate candidate of list position 25; preserved because full-sweep rule"
32,"Merkel D 7317 [1]","Commentatio Succincta In Codicem Juris Statuarii Norici ... Theil 1","1737","Nürnberg","Endter","Lazarus Carl von Wölckern; J. A. Metsch; Ernst Franz von Glandorff; Martin Tyroff","law;civic_order;engraving","reported_correspondence","source.mail.gnm-library-2026-04-22","Control case for civic/legal ordering"
33,"Merkel D 7317 [2/3]","Commentatio Succincta In Codicem Juris Statuarii Norici ... Theil 2 and Theil 3","1737",,"","Lazarus Carl von Wölckern; J. A. Metsch; Ernst Franz von Glandorff; Martin Tyroff","law;civic_order;engraving","reported_correspondence","source.mail.gnm-library-2026-04-22","Two parts grouped in supplied list position"
34,"Merkel D 7988","Erklärung dreyer respective Emblematischer Vorstellungen ...","1758","Wetzlar?",,"Johann Justus Preißler; Martin Tyroff","emblem;heraldry_candidate;engraving","reported_correspondence","source.mail.gnm-library-2026-04-22","Potential comparison for emblematic composition"
35,"Merkel D 7570","Historia Naturalis Ranarum Nostratium / Die natürliche Historie der Frösche hiesigen Landes","1758","Nürnberg","Johann Joseph Fleischmann [printer]","August Johann Rösel von Rosenhof; Martin Tyroff [engraver]","natural_history;comparison;engraving","reported_correspondence","source.mail.gnm-library-2026-04-22","High-priority natural-history control case for Tyroff's evidentiary image work"
