record_id,author,work,edition_place,publisher,edition_year,volume_or_location,frontispiece_type,artist_or_engraver,evidence_status,notes,source_url
RAYNAL-1780-10V,"Guillaume-Thomas Raynal et al.","Histoire philosophique et politique des établissemens et du commerce des Européens dans les deux Indes","Genève","Jean-Léonard Pellet","1780","10-volume in-8 issue","portrait in vol. I plus nine thematic frontispieces","portrait after C.-N. Cochin; other designs after Moreau le Jeune; engravers vary by issue","confirmed; issue details to normalize","Ten frontispieces in the 10-volume issue: Raynal portrait in vol. I and nine colonial/history scenes after Moreau le Jeune. Sources disagree over engraver attribution for the portrait across issues (Lardy / De Launay), so preserve issue-level detail.","https://edition-originale.com/en/works/antique-books-1455-1820-2/philosophy-4/raynal-histoire-philosophique-et-politique-des-etablissemens-et-du-commerce-des-europeens-dans-les-deux-indes-1780-57024"
ROLLIN-1730-01,"Charles Rollin","Histoire ancienne des Egyptiens, des Carthaginois, des Assyriens, des Babyloniens, des Mèdes et des Perses, des Macédoniens, des Grecs","Paris","Jacques Estienne / Veuve Estienne","1730-1738","series / cited set","author portrait","unknown in current evidence","confirmed","Auction collation explicitly records a portrait frontispiece; Heidelberg has a digitized Amsterdam 1730 vol. I for image-level checking.","https://www.bibliorare.com/lot/154469/"
MILLOT-1777-DE,"Claude-François-Xavier Millot; trans./ed. Wilhelm Ernst Christiani","Universalhistorie alter, mittler und neuer Zeiten","Leipzig","Siegfried Lebrecht Crusius","1777-1778","part I","engraved frontispiece","unknown in current evidence","confirmed","German translation/adaptation; part I explicitly collated with engraved frontispiece and engraved title/end vignettes.","https://antiquarisch.de/giaq/article/40849177-millot-claude-franois-xavier-des-herrn-abt-millot-universalhistorie"
MILLOT-1793-DE,"Claude-François-Xavier Millot; trans./ed. Wilhelm Ernst Christiani","Universalhistorie alter, mittler und neuer Zeiten","Wien","Franz Haas","1793-1794","15 text volumes","series of engraved frontispieces","Johann Caspar Weinrauch","confirmed","All fifteen text volumes described with copper-engraved frontispieces; useful late-century series for serial iconography and volume-by-volume comparison.","https://www.lexikon-und-enzyklopaedie.de/sa/Allgemeine-Universal-Welt-Geschichte-Historie/Des-Herrn-Abt-Millots-Christiani-Universalhistorie-alter-mittler-und-neuer-Zeiten-in-15-16-Baenden-1793-1794-Kupfer-Stiche.html"
GATTERER-WELTHIST-01,"Johann Christoph Gatterer (preface/editorial context)","Allgemeine Welthistorie ... in einem vollständigen und pragmatischen Auszuge","Germany","unknown in current evidence","18th century","vol. I","frontispiece","unknown","confirmed; metadata incomplete","Digitized table of contents explicitly places 'Frontispiz' before title page, followed by Gatterer's preface 'von der Evidenz in der Geschichtkunde'. Exact edition metadata still to resolve.","https://kulturerbe.niedersachsen.de/fullscreen/isil_DE-45_urn_nbn_de_gbv_45_1-3934/1/log232820/"
BARNARD-1783-01,"Edward Barnard","The New, Comprehensive, and Complete History of England","London","Alexander Hogg","1783","single-volume second edition","frontispiece; iconography pending image-level verification","unknown in current evidence","confirmed","Dealer collation records a frontispiece plus 102 plates; edition brings the history to mid-1783. Keep frontispiece separate from the many current-history plates.","https://www.rookebooks.com/1783-the-new-comprehensive-and-complete-history-of-england"
SPENCER-1794-01,"George William Spencer","A New, Authentic, and Complete History of England","London","Alexander Hogg","1794","frontispiece; plate produced 1793","allegory of historical instruction and constitutional liberty","George Noble after William Hamilton","confirmed","History as Minerva writes the work while British Youth is directed toward Magna Charta and the Bill of Rights held by Mars; battle and military equipment in background/foreground.","https://www.britishmuseum.org/collection/object/P_1871-1209-5268"
HENAULT-1768-01,"Charles-Jean-François Hénault","Nouvel abrégé chronologique de l'histoire de France","Paris","Prault","1768","vol. I","historical allegory","unknown in current evidence","confirmed","Ordinary-copy descriptions record a frontispiece in vol. I, interpreted as an allusion to Louis XIV's regret at having made too much war. Distinguish from title vignette, royal portrait in dedication, and head/tailpieces.","https://www.iberlibro.com/Nouvel-abr%C3%A9g%C3%A9-chronologique-lhistoire-France-contenant/32433563530/bd"
HENAULT-1768-EXTRA,"Charles-Jean-François Hénault","Nouvel abrégé chronologique de l'histoire de France","Paris","Prault","1768","extra-illustrated Christie's copy","multiple frontispiece states/additional frontispiece","Pouget for additional frontispiece; other attribution unresolved","needs copy-state check","Christie's copy contains the principal frontispiece in two states and an additional frontispiece by Pouget, plus extra proof material. Preserve as copy-specific augmentation rather than edition norm.","https://www.christies.com/en/lot/lot-253227"
HENAULT-1749-RIJK,"Charles-Jean-François Hénault","Nouvel abrégé chronologique de l'histoire de France","Paris","Prault père & fils, Desaint & Saillant","1749","Rijksmuseum library copy","called-for frontispiece absent in surviving copy","unknown","copy-state evidence","Rijksmuseum catalogue explicitly notes 'Frontspice ontbreekt' (frontispiece missing), useful negative evidence for survival/copy-state rather than proof that the edition lacked a frontispiece.","https://www.rijksmuseum.nl/en/collection/publication/Nouvel-Abrege-chronologique-de-lhistoire-de-France-contenant-les-evenements-de-notre-histoire-depuis-Clovis-jusqua-la-mort-de-Louis-XVI--4db73e4503df4315ddaca9d48f560bb9"
MURATORI-1751-ANNALI,"Lodovico Antonio Muratori","Annali d'Italia dal principio dell'era volgare sino all'anno 1749","Napoli","Giuseppe Ponzelli / Giuseppe Raimondi","1751-1755","vol. I of 12","author portrait","unknown in current evidence","confirmed","Twelve-volume quarto edition; engraved printer/device on title and a fine portrait of Muratori as antiporta in vol. I.","https://www.gonnelli.it/uk/auction-0032/muratori-lodovico-antonio-annali-ditalia-dal-.asp"
MURATORI-1723-RIS,"Lodovico Antonio Muratori (editor)","Rerum Italicarum Scriptores ab anno aerae christianae 500 ad 1500","Milan","Società Palatina / varying imprints","1723-1751","25 vols in 28 tomes","series of engraved antiporte","multiple; unresolved in current evidence","confirmed","Dealer collation records 27 engraved antiporte, 25 portraits, 46 plates and 3 maps across the monumental documentary history series. Requires volume-by-volume normalization.","https://www.abebooks.com/Rerum-Italicarum-Scriptores-anno-aerae-christianae/31643576801/bd"
GIANNONE-1770-01,"Pietro Giannone","Istoria civile del Regno di Napoli","Napoli","Giovanni Gravier","1770","vol. I of 5","author portrait","unknown in current evidence","confirmed","Vol. I has a portrait of Giannone in antiporta plus one separate plate; later edition of the 1723 work.","https://www.gonnelli.it/uk/auction-0032/giannone-pietro-istoria-civile-del-regno-di-na.asp"
DENINA-1784-01,"Carlo Denina","Delle Rivoluzioni d'Italia. Libri ventiquattro","Venezia","unknown in current evidence","1784","vol. I of 4; second Venetian edition","allegorical frontispiece","Ricci and Novello after Gatti","confirmed","First volume carries a calcographic antiporta with allegorical subject; title pages also have calcographic vignettes by Gatti. Do not conflate the two.","https://www.iberlibro.com/Rivoluzioni-Italia-Libri-ventiquattro-Edizione-seconda/30352455675/bd"
DANIEL-1755-01,"Gabriel Daniel; continuation/editorial additions by P.-H. Griffet","Histoire de France, depuis l’établissement de la Monarchie françoise dans les Gaules","Paris","Les Libraires associés","1755-1757","17-volume complete edition","frontispiece","unknown in current evidence","confirmed","First complete edition described with a frontispiece, folding maps/plans, and medal/coin vignettes; volume placement and iconography still to resolve.","https://www.heinomeyer.com/catalogue/3/37/Histoire%2Bde%2BFrance_Gabriel_DANIEL"
HUME-1767-OCT,"David Hume","The History of England","London","Andrew Millar / associated London trade","1767","octavo reissue","author portrait","Patrick Halpin (or Halpen) after John Donaldson","confirmed via secondary bibliographical study","Hume resisted a prefixed portrait, but the 1767 octavo reissue used an engraving after Donaldson. Later eighteenth-century editions commonly continued the frontispiece portrait strategy.","https://dokumen.pub/the-enlightenment-amp-the-book-scottish-authors-amp-their-publishers-in-eighteenth-century-britain-ireland-amp-america-9780226752549-9780226752525-9780226752532.html"
HUME-1795-PHILA,"David Hume","The History of England","Philadelphia","Printed for Robert Campbell","1795-1796","six volumes","serial portrait frontispieces","Robert Scot, Samuel Allardice, Joseph H. Seymour and others","confirmed","Vol. I frontispiece is Hume; vols. II-VI have Henry IV, Elizabeth I, James I, Oliver Cromwell, and James II. Strong late-century American repackaging case.","https://catalog.folger.edu/record/909005"
HENRY-1781-V4,"Robert Henry","The History of Great Britain","London","printed by William Strahan for the author / associated trade","1781","vol. IV","author portrait","James Caldwall (Caldwell) after David Martin","confirmed via secondary bibliographical study","Portrait did not appear with vol. I in 1771; it was added as the frontispiece to vol. IV ten years later, making this a clear serial-publication timing case.","https://dokumen.pub/the-enlightenment-and-the-book-scottish-authors-and-their-publishers-in-eighteenth-century-britain-ireland-and-america-9780226752549.html"
SMOLLETT-1763-CONT,"Tobias George Smollett","Continuation of the Complete History of England","London","associated London trade","1763","vol. I of new/second edition","author portrait","François Aliamet after Joshua Reynolds","confirmed via secondary bibliographical study","The first volume of the 1763 'new' (second) edition contained a head-and-shoulders frontispiece portrait of Smollett, an early example in the Scottish historical publishing cluster.","https://dokumen.pub/the-enlightenment-amp-the-book-scottish-authors-amp-their-publishers-in-eighteenth-century-britain-ireland-amp-america-9780226752549-9780226752525-9780226752532.html"
MACPHERSON-1775-OP,"James Macpherson","Original papers: containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover","Dublin","J. Exshaw et al.","1775","2 vols; plate in vol. I context","frontispiece plate","unknown in current evidence","confirmed; borderline genre","National Library of Ireland catalogue states 'Plate = frontis.' The work is an edited-document/secret-history compilation rather than conventional narrative history, so keep it marked as a scope-edge case.","https://catalogue.nli.ie/Record/vtls000201572"
VERTOT-1722-PORT,"René Aubert de Vertot","Histoire des révolutions de Portugal","Amsterdam","Étienne Roger","1722","single volume","engraved frontispiece; iconography pending copy comparison","unknown in current evidence","confirmed","National Library of Ireland catalogue explicitly records an engraved frontispiece and four leaves of plates, three folded.","https://catalogue.nli.ie/Record/vtls000480697"
VERTOT-1724-PORT-EN,"René Aubert de Vertot; English translation","The revolutions of Portugal","London","W. Taylor and C. Rivington","1724","single volume","frontispiece illustration","unknown in current evidence","confirmed","ESTC-derived Grub Street Project record states 'Frontis. = ill.'; useful translation/re-edition comparison with French states.","https://www.grubstreetproject.net/publications/T81982/"
VERTOT-1729-PORT,"René Aubert de Vertot","Histoire des révolutions de Portugal","La Haye","Henri Scheurleer","1729","fourth edition","historical event scene","unknown in current evidence","confirmed","Engraved frontispiece depicts the 1640 Portuguese Restoration conspirators defenestrating Miguel de Vasconcelos; dealer collation independently confirms engraved frontispiece and folding genealogy.","https://commons.wikimedia.org/wiki/File:Frontispiece_-_Histoire_des_Revolutions_de_Portugal_(Vertot,_1729).png"
VERTOT-1796-ROME,"René Aubert de Vertot","Histoire des révolutions arrivées dans le gouvernement de la République romaine","Paris / Dijon","Antoine-Augustin Renouard; printed by J.-P. Moroge","1796","vol. I of four","author portrait","Pierre Gabriel Langlois after Jacques-François Delyen","confirmed","Vol. I has an engraved frontispiece portrait of Vertot; a late-century reissue shifts visual opening from event-scene models found in the Portugal history toward authorial commemoration.","https://www.lhistoirevagabonde.com/product-page/auber-de-vertot-ren%C3%A9-histoire-des-r%C3%A9volutions-de-la-r%C3%A9publique-romaine"
ECHARD-1707-01,"Laurence Echard","The History of England","London","Jacob Tonson","1707","vol. I","engraved frontispiece; iconography pending image check","unknown in current evidence","confirmed","Folger's record for the 1707 first volume notes that when vols. II-III appeared in 1718, vol. I was reissued with a different frontispiece and dedication. This establishes a frontispiece in the 1707 state and an edition-state change in 1718.","https://catalog.folger.edu/record/842179"
ECHARD-1718-01,"Laurence Echard","The History of England","London","Jacob Tonson","1718","vol. I reissue with vols. II-III","replacement frontispiece; same design across three-volume set","unknown in current evidence","confirmed","Folger states the reissued vol. I has a different frontispiece from 1707; ESTC-derived notes further indicate the frontispiece in vol. I is identical to those in vols. II and III. Strong serial reissue case.","https://catalog.folger.edu/record/842181"
HOOKE-1738-FIRST,"Nathaniel Hooke","The Roman History, from the Building of Rome to the Ruin of the Commonwealth","London","various associated London booksellers","1738-1771","4-volume first-edition sequence","engraved frontispiece in vols. I-III; vol. IV missing in cited copy","unknown in current evidence","confirmed with copy-state caveat","A complete first-edition sequence is collated with an engraved frontispiece in each volume except vol. IV, whose frontispiece is explicitly lacking in the cited copy. The set also contains numerous maps/plates that must remain analytically separate from the frontispieces.","https://www.rookebooks.com/1738-71-the-roman-history-from-the-building-of-rome-to-the-ruin-of-the-commonwealth"
HOOKE-1770-5TH,"Nathaniel Hooke","The Roman History, from the Building of Rome to the Ruin of the Commonwealth","London","various associated London booksellers","1770-1771","4-volume fifth edition","engraved frontispiece in each volume","unknown in current evidence","confirmed","Fifth edition collation records a frontispiece in every volume, together with 32 other plates/maps. Useful control against the first-edition copy where vol. IV frontispiece is missing.","https://www.rookebooks.com/1770-1771-the-roman-history-from-the-building-of-rome-to-the-ruin-of-the-commonwealth"
LORENZANA-CORTES-1770,"Hernán Cortés; ed. Francisco Antonio Lorenzana","Historia de Nueva-España","México","Imprenta del Superior Gobierno de Joseph Antonio de Hogal","1770","single folio volume; frontispiece position varies in surviving copies","symbolic conquest/imperial presentation scene","José Mariano Navarro (engraver)","confirmed","University of Granada identifies the calcographic frontispiece as Hernán Cortés kneeling and offering an orb symbolizing the conquered territory to Charles V, accompanied by Indigenous figures. Christie's records a copy in which the frontispiece was bound deep in the preliminary/text sequence rather than at the normal opening, making it a useful binding-state case.","https://digibug.ugr.es/handle/10481/110964?show=full"
SOLIS-1783-SANCHA,"Antonio de Solís y Ribadeneyra","Historia de la conquista de México","Madrid","Antonio de Sancha","1783-1784","vol. I of two","portrait of Hernán Cortés","Fernando Selma after Titian","confirmed","Auction and catalogue descriptions explicitly identify the Cortés portrait as the frontispiece; a separate portrait of Antonio de Solís and numerous historical plates/maps follow. The edition therefore opens with the historical agent rather than the historian-author.","https://live.mortonsubastas.com/online-auctions/morton-subastas/antonio-de-sol-s-y-ribadeneyra-historia-de-la-conquista-de-m-xico-madrid-1783-84-26-l-minas-tomos-i---ii-piezas-2-6596818"
CLAVIGERO-1787-EN,"Francesco Saverio Clavigero; English translation","The History of Mexico","London","G. G. J. and J. Robinson","1787","two volumes","map frontispiece in each volume","cartographic engravers unresolved in current evidence","confirmed","Library of Congress states explicitly that the frontispiece in each volume is a map: vol. I Anahuac/Mexico and neighboring kingdoms as in 1521; vol. II the Lakes of Mexico. The 1780-81 Italian original is catalogued with plates/maps/title vignette but no currently confirmed formal frontispiece, so translation-state comparison is high priority.","https://www.loc.gov/item/2008571608/"
VOLTAIRE-1732-CHARLESXII-EN,"Voltaire; English translation","The History of Charles XII, King of Sweden","London","C. Davis and A. Lyon","1732","single volume; third-edition state","royal portrait","J. Vandergucht","confirmed","Sir John Soane's Museum catalogue gives an engraved frontispiece portrait of Charles XII plus a folding map; this is a reissue of the second English edition with reset title page.","https://collections.soane.org/b7376"
VOLTAIRE-1750-CHARLESXII,"Voltaire","Histoire de Charles XII, Roi de Suède","Basle [false imprint]","Christophe Revis [imprint]","1750","two volumes; so-called eleventh edition","royal portrait","unsigned","confirmed","Bibliographical/auction evidence records an unsigned engraved portrait of Charles XII as frontispiece and a separate engraved title vignette, a clean example of the distinction between the two functions.","https://www.interencheres.com/art-decoration/montignac-31e-vente-de-livres-2e-jour-sur-4-n550-a-1084-684087/lot-88235311.html"
VOLTAIRE-1775-SIECLE,"Voltaire","Le Siècle de Louis XIV","Geneva/Neuchâtel-associated framed Oeuvres edition","Cramer / Société typographique de Neuchâtel context; exact volume imprint to normalize","1775","tomes XVIII-XIX of the framed collected-works edition","frontispiece; image identity to normalize from copy","unknown in current evidence","confirmed; metadata normalization pending","Centre de recherche du château de Versailles explicitly reproduces and labels the frontispiece of the 1775 edition; this was the last authentic edition of the work issued during Voltaire's lifetime. Record remains edition-level until image/collation metadata are normalized.","https://www.chateauversailles-recherche.fr/article1018.html"
WAGENAAR-1749-V1,"Jan Wagenaar","Vaderlandsche historie, vervattende de geschiedenissen der nu Vereenigde Nederlanden","Amsterdam","Isaak Tirion","1749-1759","vol. I","engraved frontispiece; iconography pending image-level check","unknown in current evidence","confirmed","Detailed first-printing collation records an engraved frontispiece in vol. I, followed by one map and four folding plates. Later volumes carry changing combinations of maps, plates and portrait series; keep these analytically distinct from the frontispiece.","https://www.pbfa.org/books/vaderlandsche-historie-vervattende-de-geschiedenissen-der-nu-vereenigde-nederlanden-inzonderheid-die-van-holland-van-de-vroegste-tyden-af-uit-de-geloofwaardigste-schryvers-en-egte-gedenkstukken-samengesteld-met-plaaten-en-kaarten"
HOLBERG-1732-DRH,"Ludvig Holberg","Dannemarks Riges Historie","København","J. J. Høpffner / Royal and University Printing Office","1732-1735","vol. I","author portrait","Christian Fritzsch, Hamburg","confirmed","Authoritative Danish book-history reference states that the earliest known portrait of Holberg, dated 1731, was engraved by Christian Fritzsch and placed as the frontispiece facing the title page in vol. I (1732).","https://lex.dk/frontispice_-_illustration"
FLOREZ-1747-ES-I,"Enrique Flórez","España Sagrada. Theatro geographico-historico de la Iglesia de España","Madrid","Miguel Francisco Rodríguez","1747","tomo I","frontispiece; iconography requires image-level transcription","Flórez credited as designer for engraved leaves in institutional metadata; exact frontispiece engraver unresolved","confirmed-textual; visual check pending","A Real Academia de la Historia scholarly publication explicitly captions Fig. 2 as 'E. Flórez, España Sagrada. Frontispicio. Tomo 1, Madrid, 1747.' A Bizkaia institutional record independently collates tomo I with one engraved leaf plus one folding engraved leaf. The web PDF screenshot endpoint failed twice, so image iconography has not yet been visually verified in this sweep.","https://www.rah.es/wp-content/uploads/2016/10/28_Geografia_cartografia_Hispania.pdf"
