year,phase,issue_no_or_status,title_family,publisher_or_imprint,copy_or_digital_anchor,frontispiece_status,evidence_status,notes
1738,weigel_calendar,16,Geschichts-Geschlechts-und-Wappen-Calender,"L. Bieling for C. Weigels Witwe","ULB Düsseldorf digital; ZVAB copies; Dorotheum lot 108",allegorical_frontispiece_reported_copy_variation,verified_catalogue,"Some copies have allegorical frontispiece; Dorotheum copy explicitly lacks frontispiece and flyleaves"
1739,weigel_calendar,17,Geschichts-Geschlechts-und-Wappen-Calender,"C. Weigels d. Ä. seel. Wittib / L. Bieling","KIT/antiquarian holdings",engraved_frontispiece_identity_unchecked,verified_catalogue,"Inspect scan/copy"
1740,weigel_calendar,18_expected,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"BSB Geneal. 46-1740; urn:nbn:de:bvb:12-bsb10428140-4",unknown,verified_catalogue,"Separate later evidence reports armorial sheets from a 1740 calendar cut and pasted into Wapen Sammlung volumes"
1741,weigel_calendar,19,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"antiquarian copy",engraved_frontispiece_reported,verified_catalogue,"109 armorial engravings in one description; inspect exact frontispiece"
1742,weigel_calendar,20_expected,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"BSB digital coverage; antiquarian copy",engraved_frontispiece_reported,verified_catalogue,"Catalogue describes 100 copper plates and 124 genealogical tables"
1743,weigel_calendar,21,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"BSB digital coverage / ZVAB trace",unknown,verified_catalogue,"Inspect scan"
1744,weigel_calendar,22,Geschichts-Geschlechts-und-Wappen-Calender,"C. Weigels d. Ä. seel. Wittib / A. Bieling","ULB Düsseldorf digital; ZVAB complete copy",target_design_explicit,verified_catalogue,"Explicit: 1 gest. Frontispiz (= Historia Genealogia Heraldica); 101 armorial engravings; medal plate"
1745,weigel_calendar,23,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"BSB digital; Russian library/auction trace",engraved_frontispiece_reported,verified_catalogue,"Inspect exact plate"
1746,weigel_calendar,24,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"ZDB holdings; BSB digital coverage",unknown,verified_catalogue,"Inspect scan"
1747,weigel_calendar,25,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"Rostock digital; auction copy",engraved_frontispiece_reported,verified_catalogue,"Catalogue reports extensive armorial engravings and genealogical tables"
1748,weigel_calendar,26,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"ULB Düsseldorf digital; BSB digital",unknown,verified_catalogue,"Number 26 confirmed by Düsseldorf series metadata; inspect target plate"
1749,weigel_calendar,27,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"BSB digital coverage; ZVAB trace",unknown,verified_catalogue,"Inspect scan"
1750,weigel_calendar,28_expected,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"BSB digital coverage",unknown,verified_catalogue,"Inspect scan"
1751,weigel_calendar,29,Geschichts-Geschlechts-und-Wappen-Calender,"Weigel Witwe","ULB Düsseldorf digital; Kiefer auction copy",engraved_frontispiece_reported,verified_catalogue,"Kiefer: frontispiece + 114 armorial engravings"
1752,weigel_calendar,30_expected,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"BSB digital coverage",unknown,verified_catalogue,"Inspect scan"
1753,weigel_calendar,31_expected,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"ZDB holdings / series evidence",unknown,verified_catalogue,"Inspect surviving copy"
1754,weigel_calendar,32_expected,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"BSB digital coverage",unknown,verified_catalogue,"Inspect scan; late Köhler phase"
1755,weigel_calendar,numbering_disputed,Geschichts-Geschlechts-und-Wappen-Calender,"Bieling for Weigel","Kiefer 142-454; ZDB/DNB series evidence",engraved_frontispiece_reported,verified_catalogue,"Kiefer calls this 34th; sequential series logic would make 1755 33rd. Secondary sources claim no 1755 issue. Do not normalize until title-page inspection"
1756,weigel_calendar,34,Geschichts-Geschlechts-und-Wappen-Calender,"Bieling for Weigel","BSB digital coverage; Kiefer/Barnebys copy",engraved_frontispiece_reported,verified_catalogue,"Kiefer/Barnebys explicitly 34th; 108 armorial engravings"
1757,weigel_calendar,35,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"BSB digital coverage; serial catalogues",engraved_frontispiece_reported,verified_catalogue,"Last ZDB/DNB numbered issue; inspect target identity"
1759,gatterer_handbuch,n/a,Handbuch der neuesten Genealogie und Heraldik,"Christoph Weigel / Andreas Bieling in auction description; Raspe in serial metadata","BSB/DDB related object; Artinfo/OneBid copy",target_design_explicit,verified_catalogue,"Pretitular copperplate explicitly transcribed HISTORIA GENEALOGIA HERALDICA / TESTES TEMPORVM ET VERITATIS; imprint discrepancy itself needs copy-level resolution"
1761,gatterer_handbuch,n/a,Handbuch der neuesten Genealogie und Heraldik,Raspe,"DDB related-object metadata / BSB",frontispiece_identity_unchecked,verified_catalogue,"Inspect front matter"
1762,gatterer_handbuch,n/a,Handbuch der neuesten Genealogie und Heraldik,Raspe,"BSB/DDB; project seed",target_design_reported_in_research_draft,unresolved,"Core seed witness; direct scan-level promotion still pending"
1763,gatterer_handbuch,n/a,Handbuch der neuesten Genealogie und Heraldik,Raspe,"BSB Geneal. 46-1763; urn:nbn:de:bvb:12-bsb10428158-2",frontispiece_identity_unchecked,verified_catalogue,"Inspect front matter"
1764,gatterer_fortgesetzter_calendar,n/a,Fortgesetzter Wappen-Calender oder jährliches Handbuch,Raspe,"BSB Geneal. 46-1764; urn:nbn:de:bvb:12-bsb10428159-2; Invaluable copy",target_design_explicit,verified_catalogue,"Auction description explicitly names Historia Genealogia Heraldica: Testes Temporum Et Veritatis; 136 armorial plates"
1765,gatterer_fortgesetzter_calendar,n/a,Fortgesetzter Wappen-Calender oder jährliches Handbuch,Raspe,"series-level secondary/bibliographic evidence",unknown,unresolved,"Specific primary/digital witness not yet secured in first sweep"
1766,gatterer_fortgesetzter_calendar,n/a,Fortgesetzter Wappen-Calender oder jährliches Handbuch,Raspe,"BSB Geneal. 46-1766; urn:nbn:de:bvb:12-bsb10428160-5",frontispiece_identity_unchecked,verified_catalogue,"Includes Gatterer's heraldic outline and eight explanatory copperplates according to bibliographic descriptions"
1767,seyfart_fortgesetzter_calendar,n/a,Fortgesetzter Wappen-Calender oder jährliches Handbuch,Raspe,"Klimo Library PTE I.VII.7; BSB/DDB trace",frontispiece_identity_unchecked,verified_catalogue,"Klimo copy has acquisition ex libris hand-dated 1769; beginning of Seyfart phase"
1768,seyfart_handbuch_wappenbuch,n/a,Handbuch der neuesten Genealogie,Raspe,"BSB Geneal. 46-1768; urn:nbn:de:bvb:12-bsb10481709-1; ULB Halle DOI 10.25673/46429",frontispiece_reported_identity_unchecked,verified_catalogue,"ULB Halle metadata explicitly records Frontisp.; determine whether Clio design survives"
1769,seyfart_handbuch_wappenbuch,n/a,Handbuch der neuesten Genealogie,Raspe,"DDB related-object metadata",unknown,verified_catalogue,"Inspect front matter and binding configuration"
1770,seyfart_handbuch_wappenbuch,n/a,Handbuch der neuesten Genealogie,Raspe,"DDB related-object metadata",unknown,verified_catalogue,"Inspect front matter and plate sequence"
1771,seyfart_handbuch_wappenbuch,n/a,Handbuch der neuesten Genealogie,Raspe,"DDB related-object metadata",unknown,verified_catalogue,"Inspect front matter and plate sequence"
1772,seyfart_wappenbuch,n/a,Der durchlauchtigen Welt vollständiges Wappenbuch,Raspe,"scholarly reuse lead",unknown,research_inference,"Scholarly study reportedly tracks reuse of a re-engraved heraldic design into 1772; bibliographic follow-up required"
1773,seyfart_handbuch_wappenbuch,n/a,Handbuch der neuesten Genealogie,Raspe,"DDB related-object metadata",unknown,verified_catalogue,"Inspect front matter and plate sequence"
1776,seyfart_wappenbuch,n/a,Der durchlauchtigen Welt vollständiges Wappenbuch,Raspe,"later heraldic references / surviving armorial citations",unknown,unresolved,"Terminal year reported in secondary bibliography for Seyfart editorial phase; establish exact volume/part structure"
